               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.028383,           0.0069949,                   0,             0.98994,                0.88,             0.95918,             0.61314,            0.026085,           0.0041482,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.02979,           0.0075683,                   0,              0.9582,             0.91696,             0.98474,             0.69082,            0.025727,           0.0040534,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.02858,           0.0078732,                   0,             0.95212,                0.92,              0.9831,             0.66802,            0.024843,           0.0040334,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.027513,           0.0075586,                   0,             0.95962,             0.95081,             0.98591,               0.562,            0.025688,           0.0038275,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.029653,           0.0071901,                   0,              0.9606,             0.97568,             0.99038,             0.60208,             0.02718,            0.003805,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026897,           0.0075223,                   0,             0.91551,                   1,             0.98741,             0.60827,            0.024266,           0.0039037,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.027662,           0.0072532,                   0,                   1,             0.91498,             0.98907,             0.61783,            0.025157,           0.0039694,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024823,            0.006508,                   0,             0.95309,                0.96,             0.98884,             0.51343,            0.027909,           0.0041407,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.027082,           0.0073365,                   0,             0.96086,             0.98241,             0.99192,             0.61065,            0.024306,           0.0039141,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.026298,           0.0069653,                   0,             0.95999,             0.95965,             0.99044,             0.65275,            0.023043,           0.0037802,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025046,           0.0069853,                   0,               0.961,             0.98588,             0.99192,             0.63222,            0.023917,           0.0038784,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025741,           0.0069849,                   0,             0.95819,                0.96,             0.99044,              0.6148,            0.026216,           0.0039458,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.026361,           0.0066224,                   0,             0.99427,                   1,               0.995,             0.62919,            0.026308,           0.0042886,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.024148,           0.0064704,                   0,                   1,             0.95281,             0.99346,             0.63391,            0.025589,           0.0042504,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025577,           0.0076911,                   0,             0.94803,                   1,             0.99192,             0.61999,            0.027557,           0.0042688,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.024155,            0.006304,                   0,             0.95832,                   1,             0.99192,             0.61866,            0.026168,           0.0042007,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.023133,           0.0064235,                   0,             0.95494,                   1,             0.99346,             0.59138,            0.031116,           0.0043425,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025525,           0.0065163,                   0,             0.96119,             0.99084,             0.99192,              0.6428,            0.026172,           0.0045364,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.022773,           0.0067012,                   0,             0.94445,                   1,             0.99192,             0.60651,            0.026719,           0.0046555,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.024959,           0.0063364,                   0,                   1,             0.91711,             0.99044,             0.64773,            0.026443,           0.0046023,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.02311,           0.0057967,                   0,                   1,             0.94208,             0.99204,             0.64431,            0.026213,           0.0045785,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.023644,           0.0065111,                   0,             0.96104,             0.98715,             0.99038,              0.6328,             0.02721,           0.0045607,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022919,           0.0064687,                   0,             0.92115,                   1,             0.98907,             0.62636,            0.025559,            0.004602,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022572,           0.0061664,                   0,             0.92057,                   1,             0.98907,             0.65842,            0.027127,           0.0045899,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.021805,           0.0067504,                   0,             0.92177,                   1,             0.98907,             0.66486,            0.026344,           0.0046164,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022305,           0.0063007,                   0,             0.95996,             0.95894,             0.99044,              0.6724,            0.026531,           0.0045404,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.021528,           0.0065243,                   0,              0.9598,             0.95529,             0.98751,             0.67074,            0.026262,           0.0046156,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.021429,            0.006462,                   0,             0.93729,                0.96,             0.98751,             0.64093,            0.026067,           0.0046278,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.02181,           0.0060027,                   0,                   1,              0.9106,             0.98764,              0.6594,            0.027213,           0.0046577,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.019616,           0.0063216,                   0,             0.88543,                   1,             0.98476,             0.66011,            0.026573,           0.0047093,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021333,           0.0063204,                   0,             0.88664,                   1,             0.98597,             0.63246,            0.026386,           0.0047762,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.020764,           0.0061559,                   0,             0.95987,             0.95694,             0.98884,             0.67086,            0.027354,           0.0047812,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020798,           0.0058892,                   0,             0.96086,             0.98243,             0.99038,             0.66505,            0.026165,           0.0047576,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.019423,           0.0059472,                   0,             0.94869,                   1,             0.99038,             0.67021,            0.027161,           0.0048248,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.019882,           0.0054167,                   0,             0.96113,              0.9895,             0.99346,             0.66286,            0.025953,           0.0046448,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020458,           0.0063504,                   0,             0.99815,                0.96,             0.99204,             0.66863,            0.026293,           0.0043227,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.01934,           0.0058643,                   0,             0.99302,                0.92,             0.99044,             0.66521,            0.025092,           0.0040971,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020013,           0.0058211,                   0,             0.99417,                0.92,             0.98907,             0.67372,            0.025953,           0.0040332,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.019386,           0.0054181,                   0,                   1,             0.95509,             0.99204,             0.65174,            0.026162,            0.004125,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.018983,           0.0058772,                   0,                   1,             0.97972,               0.995,             0.66813,            0.026605,           0.0042406,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020638,           0.0055436,                   0,             0.99927,                   1,               0.995,              0.6419,             0.02755,           0.0043653,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.018413,           0.0057044,                   0,                   1,             0.99914,               0.995,             0.69525,            0.025589,            0.004378,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.019525,           0.0057928,                   0,             0.99123,                   1,               0.995,             0.65939,            0.026328,           0.0044472,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019261,            0.005705,                   0,              0.9912,                   1,               0.995,             0.65674,            0.026674,           0.0043388,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.018527,            0.005382,                   0,             0.99336,                   1,               0.995,             0.68858,            0.025778,           0.0042459,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.017969,           0.0055482,                   0,             0.99402,                   1,               0.995,             0.68087,            0.025993,           0.0042568,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.018418,           0.0055403,                   0,             0.99483,                   1,               0.995,             0.66797,            0.025217,           0.0041688,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.017716,           0.0057622,                   0,             0.99639,                   1,               0.995,             0.66198,            0.026327,           0.0042448,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017808,           0.0056375,                   0,             0.99661,                   1,               0.995,             0.66422,            0.025329,           0.0042377,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.017122,           0.0052001,                   0,             0.99604,                   1,               0.995,             0.67229,            0.025055,           0.0042644,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017764,           0.0053983,                   0,             0.99519,                   1,               0.995,             0.66284,            0.025681,           0.0042959,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017215,           0.0049375,                   0,             0.99542,                   1,               0.995,             0.69032,            0.025259,           0.0043087,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.016848,           0.0053591,                   0,             0.99484,                   1,               0.995,             0.68115,            0.025508,           0.0042658,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.016405,           0.0054739,                   0,             0.99236,                   1,               0.995,             0.68374,            0.024873,           0.0041748,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.016356,           0.0049052,                   0,             0.98663,                   1,               0.995,             0.68484,            0.025014,            0.004088,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.016812,           0.0053832,                   0,             0.99123,                   1,               0.995,             0.67605,            0.024314,           0.0040834,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.01721,           0.0056869,                   0,             0.99504,                   1,               0.995,             0.70011,            0.024513,           0.0040687,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017121,           0.0056781,                   0,             0.99434,                   1,               0.995,             0.69178,            0.024347,           0.0040921,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016512,            0.005463,                   0,             0.99427,                   1,               0.995,             0.68727,            0.024661,           0.0041252,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.01693,           0.0052902,                   0,             0.99493,                   1,               0.995,              0.6774,            0.025022,           0.0040984,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.01625,           0.0048019,                   0,             0.99722,                   1,               0.995,             0.66844,            0.024688,           0.0040792,                   0,            0.000298,            0.000298,            0.000298
